	BasketballPass.cfg			BlowingBubbles.cfg			RaceHorses.cfg			BQSquare.cfg		
	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 
c0	1.32 	35.73 	2795.00 	1.49 	34.03 	3869.00 	2.46 	33.00 	10301.00 	1.44 	34.17 	3723.00 	
SearchRange=90	1.35 	35.73 	2795.00 	1.54 	34.00 	3837.00 	2.28 	32.99 	10223.00 	1.42 	34.17 	3723.00 	
SearchRange=53	1.31 	35.72 	2794.00 	1.60 	34.03 	3835.00 	2.30 	33.02 	10314.00 	1.43 	34.17 	3778.00 	
SearchRange=16	1.32 	35.73 	2810.00 	1.51 	34.02 	3837.00 	2.01 	33.01 	10316.00 	1.42 	34.17 	3778.00 	
MaxPartitionDepth=3	1.12 	35.55 	2963.00 	1.25 	33.88 	3992.00 	1.94 	32.82 	11056.00 	1.16 	34.11 	3935.00 	
MaxPartitionDepth=2	0.66 	35.22 	3463.00 	0.70 	33.64 	4325.00 	1.08 	32.41 	12998.00 	0.63 	33.82 	3995.00 	
MaxPartitionDepth=1	0.35 	34.72 	4265.00 	0.35 	33.21 	5262.00 	0.54 	31.84 	16116.00 	0.34 	33.45 	4677.00 	
SAO=0	1.37 	35.63 	2755.00 	1.55 	33.95 	3740.00 	2.54 	32.90 	10338.00 	1.43 	34.06 	3610.00 	
BipredSearchRange=4	1.28 	35.72 	2799.00 	1.45 	34.02 	3810.00 	2.37 	32.99 	10321.00 	1.32 	34.16 	3722.00 	
BipredSearchRange=2	1.22 	35.74 	2809.00 	1.42 	34.00 	3829.00 	2.35 	33.03 	10296.00 	1.26 	34.16 	3732.00 	
BipredSearchRange=0	1.18 	35.73 	2843.00 	1.34 	34.00 	3815.00 	2.25 	33.04 	10288.00 	1.25 	34.16 	3773.00 	
HadamardME=0	1.09 	35.71 	2899.00 	1.28 	34.02 	3921.00 	2.17 	33.01 	10493.00 	1.17 	34.18 	3953.00 	
AMP=0	1.24 	35.68 	2823.00 	1.36 	33.99 	3902.00 	1.98 	33.03 	10478.00 	1.26 	34.15 	3765.00 	
QuadtreeTUMaxDepthInter=2	1.28 	35.70 	2791.00 	1.43 	34.01 	3852.00 	2.31 	33.00 	10304.00 	1.32 	34.15 	3673.00 	
QuadtreeTUMaxDepthInter=1	1.19 	35.69 	2794.00 	1.35 	33.97 	3714.00 	2.16 	32.99 	10245.00 	1.21 	34.13 	3629.00 	
RDOQ=0	1.27 	35.74 	2767.00 	1.47 	34.05 	3932.00 	2.30 	32.98 	10300.00 	1.32 	34.21 	3688.00 	










c0	--SearchRange=128 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c1	--SearchRange=90 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c2	--SearchRange=53 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c3	--SearchRange=16 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c4	--SearchRange=128 --MaxPartitionDepth=3 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c5	--SearchRange=128 --MaxPartitionDepth=2 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c6	--SearchRange=128 --MaxPartitionDepth=1 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c7	--SearchRange=128 --MaxPartitionDepth=4 --SAO=0 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c8	--SearchRange=128 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=4 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c9	--SearchRange=128 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=2 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c10	--SearchRange=128 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=0 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c11	--SearchRange=128 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=6 --HadamardME=0 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c12	--SearchRange=128 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=0 --QuadtreeTUMaxDepthInter=3 --RDOQ=1 
c13	--SearchRange=128 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=2 --RDOQ=1 
c14	--SearchRange=128 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=1 --RDOQ=1 
c15	--SearchRange=128 --MaxPartitionDepth=4 --SAO=1 --BipredSearchRange=6 --HadamardME=1 --AMP=1 --QuadtreeTUMaxDepthInter=3 --RDOQ=0 
